review_id,source,airline,review_date,review_title,review_text,rating,traveler_type,route,seat_type,recommended,disruption_type,raw_text,is_synthetic
synthetic_00011,Synthetic Fallback Dataset,Frontier,2024-07-23,Long delay and almost no communication,My economy flight on Frontier from PHX to ATL left 2 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling alone for a short personal trip. I missed my connection and no one offered a useful recovery option.,2,Solo Leisure,PHX-ATL,Economy,False,delay,Long delay and almost no communication | My economy flight on Frontier from PHX to ATL left 2 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling alone for a short personal trip. I missed my connection and no one offered a useful recovery option.,True
synthetic_00012,Synthetic Fallback Dataset,Spirit,2025-01-12,Hours late and no realistic departure time,"My business class flight on Spirit from DEN to SAN left 6 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling with family, which made the disruption harder to manage. I missed my connection and no one offered a useful recovery option.",1,Family Leisure,DEN-SAN,Business Class,False,delay,"Hours late and no realistic departure time | My business class flight on Spirit from DEN to SAN left 6 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling with family, which made the disruption harder to manage. I missed my connection and no one offered a useful recovery option.",True
synthetic_00013,Synthetic Fallback Dataset,United,2025-07-23,Standby and app rebooking both failed,"After a disruption on United from ORD to MCO, the rebooking process was the most frustrating part. I waited about 50 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",1,Visiting Friends and Relatives,ORD-MCO,Economy,False,rebooking,"Standby and app rebooking both failed | After a disruption on United from ORD to MCO, the rebooking process was the most frustrating part. I waited about 50 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",True
synthetic_00014,Synthetic Fallback Dataset,United,2024-04-26,Every agent gave a different answer on the refund,"After my disrupted trip on United from JFK to LAX, the refund process became a second problem. It took 10 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",2,Visiting Friends and Relatives,JFK-LAX,Economy,False,refund,"Every agent gave a different answer on the refund | After my disrupted trip on United from JFK to LAX, the refund process became a second problem. It took 10 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00015,Synthetic Fallback Dataset,United,2024-10-25,"Some updates, but not enough","Communication during my United trip from SEA to ORD was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",4,Solo Leisure,SEA-ORD,Premium Economy,False,communication,"Some updates, but not enough | Communication during my United trip from SEA to ORD was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",True
synthetic_00016,Synthetic Fallback Dataset,Air Canada,2025-11-13,Refund took far too long,"After my disrupted trip on Air Canada from CLT to LGA, the refund process became a second problem. It took 10 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",1,Solo Leisure,CLT-LGA,Business Class,False,refund,"Refund took far too long | After my disrupted trip on Air Canada from CLT to LGA, the refund process became a second problem. It took 10 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00017,Synthetic Fallback Dataset,Lufthansa,2024-04-27,Long delay and almost no communication,My business class flight on Lufthansa from MSP to SEA left 5 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. My partner and I were traveling for a weekend getaway. I missed my connection and no one offered a useful recovery option.,1,Couple Leisure,MSP-SEA,Business Class,True,delay,Long delay and almost no communication | My business class flight on Lufthansa from MSP to SEA left 5 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. My partner and I were traveling for a weekend getaway. I missed my connection and no one offered a useful recovery option.,True
synthetic_00018,Synthetic Fallback Dataset,Delta,2025-12-07,"Not smooth, but I was rebooked","The flight from LAX to LAS on Delta was cancelled the same evening. It took around 55 minutes to get rebooked and the process was not especially organized, but an airport agent eventually placed me on a flight the next morning.",4,Solo Leisure,LAX-LAS,Premium Economy,False,cancellation,"Not smooth, but I was rebooked | The flight from LAX to LAS on Delta was cancelled the same evening. It took around 55 minutes to get rebooked and the process was not especially organized, but an airport agent eventually placed me on a flight the next morning.",True
synthetic_00019,Synthetic Fallback Dataset,Delta,2025-08-24,Mixed communication during the disruption,"Communication during my Delta trip from PHX to ATL was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",4,Visiting Friends and Relatives,PHX-ATL,Premium Economy,False,communication,"Mixed communication during the disruption | Communication during my Delta trip from PHX to ATL was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",True
synthetic_00020,Synthetic Fallback Dataset,British Airways,2025-12-18,Every agent gave a different answer on the refund,"After my disrupted trip on British Airways from MSP to SEA, the refund process became a second problem. It took 35 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",2,Couple Leisure,MSP-SEA,Economy,False,refund,"Every agent gave a different answer on the refund | After my disrupted trip on British Airways from MSP to SEA, the refund process became a second problem. It took 35 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00021,Synthetic Fallback Dataset,Spirit,2024-01-11,Lost luggage and poor follow-up,"My checked bag did not arrive after flying Spirit from IAD to MIA. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 1 days later with no proactive communication.",1,Business,IAD-MIA,Premium Economy,False,baggage,"Lost luggage and poor follow-up | My checked bag did not arrive after flying Spirit from IAD to MIA. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 1 days later with no proactive communication.",True
synthetic_00022,Synthetic Fallback Dataset,Southwest,2025-02-19,Baggage issue with almost no visibility,"My checked bag did not arrive after flying Southwest from SEA to ORD. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 4 days later with no proactive communication.",2,Solo Leisure,SEA-ORD,Business Class,False,baggage,"Baggage issue with almost no visibility | My checked bag did not arrive after flying Southwest from SEA to ORD. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 4 days later with no proactive communication.",True
synthetic_00023,Synthetic Fallback Dataset,Delta,2025-12-18,Strong recovery during a weather delay,"We still departed 2 hours late on Delta from SFO to EWR, but this was one of the better recoveries I have seen. The airline sent text updates every 30 minutes, gate staff explained the reason for the delay, and an agent protected my onward connection before boarding.",4,Family Leisure,SFO-EWR,Economy,True,delay,"Strong recovery during a weather delay | We still departed 2 hours late on Delta from SFO to EWR, but this was one of the better recoveries I have seen. The airline sent text updates every 30 minutes, gate staff explained the reason for the delay, and an agent protected my onward connection before boarding.",True
synthetic_00024,Synthetic Fallback Dataset,Air Canada,2025-03-03,No proactive updates during the disruption,"The biggest issue on my Air Canada trip from DEN to SAN was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",2,Business,DEN-SAN,Economy,False,communication,"No proactive updates during the disruption | The biggest issue on my Air Canada trip from DEN to SAN was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",True
synthetic_00025,Synthetic Fallback Dataset,British Airways,2024-11-07,"Delayed bag, average recovery","My suitcase missed the connection on a British Airways itinerary from LAX to LAS and arrived 1 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",3,Solo Leisure,LAX-LAS,Economy,True,baggage,"Delayed bag, average recovery | My suitcase missed the connection on a British Airways itinerary from LAX to LAS and arrived 1 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",True
synthetic_00026,Synthetic Fallback Dataset,Alaska,2024-03-18,Baggage issue with almost no visibility,"My checked bag did not arrive after flying Alaska from PHL to AUS. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 2 days later with no proactive communication.",1,Solo Leisure,PHL-AUS,Economy,False,baggage,"Baggage issue with almost no visibility | My checked bag did not arrive after flying Alaska from PHL to AUS. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 2 days later with no proactive communication.",True
synthetic_00027,Synthetic Fallback Dataset,Delta,2025-06-15,Confusing voucher and refund policy,"After my disrupted trip on Delta from ORD to MCO, the refund process became a second problem. It took 21 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",1,Visiting Friends and Relatives,ORD-MCO,Economy,False,refund,"Confusing voucher and refund policy | After my disrupted trip on Delta from ORD to MCO, the refund process became a second problem. It took 21 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00028,Synthetic Fallback Dataset,Southwest,2025-08-19,Delay turned into a missed connection mess,"My premium economy flight on Southwest from CLT to LGA left 4 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling with family, which made the disruption harder to manage. I missed my connection and no one offered a useful recovery option.",2,Family Leisure,CLT-LGA,Premium Economy,False,delay,"Delay turned into a missed connection mess | My premium economy flight on Southwest from CLT to LGA left 4 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling with family, which made the disruption harder to manage. I missed my connection and no one offered a useful recovery option.",True
synthetic_00029,Synthetic Fallback Dataset,Delta,2025-11-07,Delay handled better than expected,"We still departed 5 hours late on Delta from CLT to LGA, but this was one of the better recoveries I have seen. The airline sent text updates every 20 minutes, gate staff explained the reason for the delay, and an agent protected my onward connection before boarding.",4,Business,CLT-LGA,Premium Economy,False,delay,"Delay handled better than expected | We still departed 5 hours late on Delta from CLT to LGA, but this was one of the better recoveries I have seen. The airline sent text updates every 20 minutes, gate staff explained the reason for the delay, and an agent protected my onward connection before boarding.",True
synthetic_00030,Synthetic Fallback Dataset,Alaska,2026-01-14,Confusing voucher and refund policy,"After my disrupted trip on Alaska from LAX to LAS, the refund process became a second problem. It took 21 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",1,Family Leisure,LAX-LAS,Economy,False,refund,"Confusing voucher and refund policy | After my disrupted trip on Alaska from LAX to LAS, the refund process became a second problem. It took 21 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00031,Synthetic Fallback Dataset,Air Canada,2024-09-23,Late departure with mixed communication,"Our Air Canada flight from MSP to SEA was delayed about 2 hours. Updates came every 45 minutes, but only after people kept asking for information. The crew stayed polite and we eventually got where we needed to go.",3,Family Leisure,MSP-SEA,Economy,False,delay,"Late departure with mixed communication | Our Air Canada flight from MSP to SEA was delayed about 2 hours. Updates came every 45 minutes, but only after people kept asking for information. The crew stayed polite and we eventually got where we needed to go.",True
synthetic_00032,Synthetic Fallback Dataset,Emirates,2025-01-19,Late departure but clear updates throughout,"We still departed 2 hours late on Emirates from IAD to MIA, but this was one of the better recoveries I have seen. The airline sent text updates every 60 minutes, gate staff explained the reason for the delay, and an agent protected my onward connection before boarding.",4,Visiting Friends and Relatives,IAD-MIA,Premium Economy,True,delay,"Late departure but clear updates throughout | We still departed 2 hours late on Emirates from IAD to MIA, but this was one of the better recoveries I have seen. The airline sent text updates every 60 minutes, gate staff explained the reason for the delay, and an agent protected my onward connection before boarding.",True
synthetic_00033,Synthetic Fallback Dataset,Spirit,2025-12-19,Bag never arrived when promised,"My checked bag did not arrive after flying Spirit from PHX to ATL. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 3 days later with no proactive communication.",1,Couple Leisure,PHX-ATL,Premium Economy,False,baggage,"Bag never arrived when promised | My checked bag did not arrive after flying Spirit from PHX to ATL. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 3 days later with no proactive communication.",True
synthetic_00034,Synthetic Fallback Dataset,United,2024-06-17,Cancelled flight and chaotic recovery,"My United flight from DFW to SFO was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling for work and had a time-sensitive schedule. I ended up paying for my own hotel and finding a backup flight myself.",2,Business,DFW-SFO,Economy,False,cancellation,"Cancelled flight and chaotic recovery | My United flight from DFW to SFO was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling for work and had a time-sensitive schedule. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00035,Synthetic Fallback Dataset,Air Canada,2025-02-19,Delay turned into a missed connection mess,My first class flight on Air Canada from JFK to LAX left 4 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling alone for a short personal trip. I missed my connection and no one offered a useful recovery option.,2,Solo Leisure,JFK-LAX,First Class,False,delay,Delay turned into a missed connection mess | My first class flight on Air Canada from JFK to LAX left 4 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling alone for a short personal trip. I missed my connection and no one offered a useful recovery option.,True
synthetic_00036,Synthetic Fallback Dataset,Air Canada,2024-12-06,Rebooking process was exhausting,"After a disruption on Air Canada from DEN to SAN, the rebooking process was the most frustrating part. I waited about 20 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",2,Solo Leisure,DEN-SAN,Premium Economy,False,rebooking,"Rebooking process was exhausting | After a disruption on Air Canada from DEN to SAN, the rebooking process was the most frustrating part. I waited about 20 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",True
synthetic_00037,Synthetic Fallback Dataset,Emirates,2025-07-13,Communication failed at every step,"The biggest issue on my Emirates trip from PHL to AUS was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",2,Visiting Friends and Relatives,PHL-AUS,Economy,True,communication,"Communication failed at every step | The biggest issue on my Emirates trip from PHL to AUS was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",True
synthetic_00038,Synthetic Fallback Dataset,Southwest,2025-11-10,Mixed communication during the disruption,"Communication during my Southwest trip from PHL to AUS was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",3,Solo Leisure,PHL-AUS,Economy,True,communication,"Mixed communication during the disruption | Communication during my Southwest trip from PHL to AUS was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",True
synthetic_00039,Synthetic Fallback Dataset,Air Canada,2025-12-28,"App, gate, and phone support all disagreed","My Air Canada flight from PHX to ATL was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling for work and had a time-sensitive schedule. I ended up paying for my own hotel and finding a backup flight myself.",1,Business,PHX-ATL,Economy,False,cancellation,"App, gate, and phone support all disagreed | My Air Canada flight from PHX to ATL was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling for work and had a time-sensitive schedule. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00040,Synthetic Fallback Dataset,American,2024-03-01,"Bag delay was handled, but slowly","My suitcase missed the connection on a American itinerary from LAX to LAS and arrived 3 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",4,Visiting Friends and Relatives,LAX-LAS,Business Class,False,baggage,"Bag delay was handled, but slowly | My suitcase missed the connection on a American itinerary from LAX to LAS and arrived 3 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",True
synthetic_00041,Synthetic Fallback Dataset,Emirates,2025-02-04,"App, gate, and phone support all disagreed","My Emirates flight from BOS to DEN was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling for work and had a time-sensitive schedule. I ended up paying for my own hotel and finding a backup flight myself.",2,Business,BOS-DEN,Economy,False,cancellation,"App, gate, and phone support all disagreed | My Emirates flight from BOS to DEN was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling for work and had a time-sensitive schedule. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00042,Synthetic Fallback Dataset,United,2025-12-24,Hours late and no realistic departure time,My premium economy flight on United from SEA to ORD left 2 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. My partner and I were traveling for a weekend getaway. I missed my connection and no one offered a useful recovery option.,1,Couple Leisure,SEA-ORD,Premium Economy,False,delay,Hours late and no realistic departure time | My premium economy flight on United from SEA to ORD left 2 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. My partner and I were traveling for a weekend getaway. I missed my connection and no one offered a useful recovery option.,True
synthetic_00043,Synthetic Fallback Dataset,JetBlue,2025-03-08,Delay was frustrating but manageable,"Our JetBlue flight from MSP to SEA was delayed about 4 hours. Updates came every 20 minutes, but only after people kept asking for information. The crew stayed polite and we eventually got where we needed to go.",3,Family Leisure,MSP-SEA,Premium Economy,False,delay,"Delay was frustrating but manageable | Our JetBlue flight from MSP to SEA was delayed about 4 hours. Updates came every 20 minutes, but only after people kept asking for information. The crew stayed polite and we eventually got where we needed to go.",True
synthetic_00044,Synthetic Fallback Dataset,Spirit,2024-08-27,Standby and app rebooking both failed,"After a disruption on Spirit from PHX to ATL, the rebooking process was the most frustrating part. I waited about 20 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",2,Solo Leisure,PHX-ATL,Economy,False,rebooking,"Standby and app rebooking both failed | After a disruption on Spirit from PHX to ATL, the rebooking process was the most frustrating part. I waited about 20 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",True
synthetic_00045,Synthetic Fallback Dataset,American,2024-03-29,No proactive updates during the disruption,"The biggest issue on my American trip from DEN to SAN was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",1,Business,DEN-SAN,Economy,False,communication,"No proactive updates during the disruption | The biggest issue on my American trip from DEN to SAN was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",True
synthetic_00046,Synthetic Fallback Dataset,Southwest,2024-05-11,"Delayed bag, average recovery","My suitcase missed the connection on a Southwest itinerary from CLT to LGA and arrived 4 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",4,Business,CLT-LGA,Premium Economy,False,baggage,"Delayed bag, average recovery | My suitcase missed the connection on a Southwest itinerary from CLT to LGA and arrived 4 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",True
synthetic_00047,Synthetic Fallback Dataset,British Airways,2024-09-30,Confusing voucher and refund policy,"After my disrupted trip on British Airways from SFO to EWR, the refund process became a second problem. It took 14 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",2,Couple Leisure,SFO-EWR,Economy,False,refund,"Confusing voucher and refund policy | After my disrupted trip on British Airways from SFO to EWR, the refund process became a second problem. It took 14 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00048,Synthetic Fallback Dataset,Spirit,2024-01-11,Bag never arrived when promised,"My checked bag did not arrive after flying Spirit from JFK to LAX. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 1 days later with no proactive communication.",2,Business,JFK-LAX,Economy,False,baggage,"Bag never arrived when promised | My checked bag did not arrive after flying Spirit from JFK to LAX. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 1 days later with no proactive communication.",True
synthetic_00049,Synthetic Fallback Dataset,Alaska,2026-02-04,"App, gate, and phone support all disagreed","My Alaska flight from DFW to SFO was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling alone for a short personal trip. I ended up paying for my own hotel and finding a backup flight myself.",1,Solo Leisure,DFW-SFO,Economy,False,cancellation,"App, gate, and phone support all disagreed | My Alaska flight from DFW to SFO was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling alone for a short personal trip. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00050,Synthetic Fallback Dataset,Spirit,2025-07-30,Long hold times and conflicting advice,"Customer support was the hardest part of my disrupted Spirit trip from ATL to BOS. I spent about 25 minutes on hold, was transferred multiple times, and each agent contradicted the previous one about rebooking, vouchers, and baggage status.",1,Couple Leisure,ATL-BOS,Economy,False,customer_support,"Long hold times and conflicting advice | Customer support was the hardest part of my disrupted Spirit trip from ATL to BOS. I spent about 25 minutes on hold, was transferred multiple times, and each agent contradicted the previous one about rebooking, vouchers, and baggage status.",True
synthetic_00051,Synthetic Fallback Dataset,British Airways,2024-10-19,Lost luggage and poor follow-up,"My checked bag did not arrive after flying British Airways from ORD to MCO. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 3 days later with no proactive communication.",1,Solo Leisure,ORD-MCO,Economy,False,baggage,"Lost luggage and poor follow-up | My checked bag did not arrive after flying British Airways from ORD to MCO. The baggage desk opened a claim, but tracking updates were vague and phone support kept sending me back to the airport team. The luggage finally showed up 3 days later with no proactive communication.",True
synthetic_00052,Synthetic Fallback Dataset,Air Canada,2025-11-21,"App, gate, and phone support all disagreed","My Air Canada flight from DFW to SFO was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling to visit family and needed predictable timing. I ended up paying for my own hotel and finding a backup flight myself.",2,Visiting Friends and Relatives,DFW-SFO,Economy,False,cancellation,"App, gate, and phone support all disagreed | My Air Canada flight from DFW to SFO was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling to visit family and needed predictable timing. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00053,Synthetic Fallback Dataset,Southwest,2024-08-14,No proactive updates during the disruption,"The biggest issue on my Southwest trip from MIA to JFK was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",1,Family Leisure,MIA-JFK,Economy,False,communication,"No proactive updates during the disruption | The biggest issue on my Southwest trip from MIA to JFK was communication. The app kept refreshing with conflicting information, announcements came after each promised boarding time passed, and the gate team had no consistent script when people asked what was happening.",True
synthetic_00054,Synthetic Fallback Dataset,Spirit,2025-04-15,"Some updates, but not enough","Communication during my Spirit trip from DFW to SFO was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",3,Solo Leisure,DFW-SFO,Business Class,False,communication,"Some updates, but not enough | Communication during my Spirit trip from DFW to SFO was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",True
